;path;path_without;group;xmin;ymin;xmax;ymax;category_codes
0;.\data\deep_pcb_tangsali5201\group20085/20085/20085000_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085000_temp.jpg;group20085;409;394;435;422;2
1;.\data\deep_pcb_tangsali5201\group20085/20085/20085000_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085000_temp.jpg;group20085;275;383;319;417;2
2;.\data\deep_pcb_tangsali5201\group20085/20085/20085000_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085000_temp.jpg;group20085;8;163;36;191;5
3;.\data\deep_pcb_tangsali5201\group20085/20085/20085000_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085000_temp.jpg;group20085;244;151;270;182;6
4;.\data\deep_pcb_tangsali5201\group20085/20085/20085000_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085000_temp.jpg;group20085;338;519;364;543;7
5;.\data\deep_pcb_tangsali5201\group20085/20085/20085000_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085000_temp.jpg;group20085;476;460;502;481;5
6;.\data\deep_pcb_tangsali5201\group20085/20085/20085001_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085001_temp.jpg;group20085;335;208;364;233;2
7;.\data\deep_pcb_tangsali5201\group20085/20085/20085001_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085001_temp.jpg;group20085;429;132;458;159;5
8;.\data\deep_pcb_tangsali5201\group20085/20085/20085001_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085001_temp.jpg;group20085;71;149;96;172;6
9;.\data\deep_pcb_tangsali5201\group20085/20085/20085001_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085001_temp.jpg;group20085;323;26;350;60;7
10;.\data\deep_pcb_tangsali5201\group20085/20085/20085001_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085001_temp.jpg;group20085;585;284;610;310;2
11;.\data\deep_pcb_tangsali5201\group20085/20085/20085001_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085001_temp.jpg;group20085;424;346;449;369;7
12;.\data\deep_pcb_tangsali5201\group20085/20085/20085001_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085001_temp.jpg;group20085;80;572;105;596;6
13;.\data\deep_pcb_tangsali5201\group20085/20085/20085002_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085002_temp.jpg;group20085;192;73;222;98;6
14;.\data\deep_pcb_tangsali5201\group20085/20085/20085002_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085002_temp.jpg;group20085;252;461;280;493;5
15;.\data\deep_pcb_tangsali5201\group20085/20085/20085002_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085002_temp.jpg;group20085;491;583;517;611;2
16;.\data\deep_pcb_tangsali5201\group20085/20085/20085002_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085002_temp.jpg;group20085;402;373;429;399;2
17;.\data\deep_pcb_tangsali5201\group20085/20085/20085002_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085002_temp.jpg;group20085;423;147;450;169;6
18;.\data\deep_pcb_tangsali5201\group20085/20085/20085002_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085002_temp.jpg;group20085;496;313;519;335;7
19;.\data\deep_pcb_tangsali5201\group20085/20085/20085002_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085002_temp.jpg;group20085;276;356;301;379;7
20;.\data\deep_pcb_tangsali5201\group20085/20085/20085003_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085003_temp.jpg;group20085;475;408;504;441;3
21;.\data\deep_pcb_tangsali5201\group20085/20085/20085003_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085003_temp.jpg;group20085;478;269;503;297;5
22;.\data\deep_pcb_tangsali5201\group20085/20085/20085003_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085003_temp.jpg;group20085;340;399;387;420;4
23;.\data\deep_pcb_tangsali5201\group20085/20085/20085003_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085003_temp.jpg;group20085;506;118;532;140;2
24;.\data\deep_pcb_tangsali5201\group20085/20085/20085003_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085003_temp.jpg;group20085;437;22;462;44;7
25;.\data\deep_pcb_tangsali5201\group20085/20085/20085003_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085003_temp.jpg;group20085;343;153;372;186;3
26;.\data\deep_pcb_tangsali5201\group20085/20085/20085003_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085003_temp.jpg;group20085;423;497;456;523;5
27;.\data\deep_pcb_tangsali5201\group20085/20085/20085003_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085003_temp.jpg;group20085;108;345;135;378;6
28;.\data\deep_pcb_tangsali5201\group20085/20085/20085004_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085004_temp.jpg;group20085;178;202;212;225;2
